Resource type,Cloud Provider ,Alert/Finding Name - VMSS,Equivalent in WIZ ?,Expected Configuration in WIZ ,Is the Rule even relevant  today?,If Obsolete : Reasons,Division/Project,No of supresisons for that particular rule as per Project,VM Ware DocumentationLink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KINESIS,AWS,Kinesis data stream should be encrypted,Kinesis should enforce server-side encryption,Ensure Amazon Kinesis data stream server side encryption is enabled.,Yes ,,,Commodity Insights = 8,https://docs.securestate.vmware.com/rule-docs/kinesis-datastream-with-no-encryption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUARDDUTY,AWS,GuardDuty is not configured for all the enabled regions,GuardDuty Detector should be enabled,Ensure GuardDuty is configured for all the enabled regions.,Yes ,,,"Ratings = 6
Kensho = 2",https://docs.securestate.vmware.com/rule-docs/guardduty-not-configured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IAM,AWS,"An IAM user has a managed policy directly attached to the user
",IAM User should not have any policies attached,"It is recommended that IAM policies are applied directly to groups or roles, but not to users.",Yes ,,,"Commodity Insights = 522
DTS = 172
GRA = 15
Kensho = 170
Market Intelligence = 470
Panjiva = 2
Payer Account = 5
RateWatch = 1
Ratings = 7
SPDJI = 2
Sustainable1 = 7",Link provided by vmss report is invalid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IAM,AWS,"IAM account should not be inactive for 90 days or longer
",IAM User should not be inactive for more than 90 days,It is recommended that all users who have been inactive for 90 or more days be disabled or removed.,Yes ,,,"Commodity Insights = 2
DTS = 11
SPDJI = 5",https://docs.securestate.vmware.com/rule-docs/iam-unused-access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IAM,AWS,"IAM active server certificate should be renewed before it expires
",ACM certificate expiring within 30 days should be renewed,"There are one or more active server certificate that will expire in the next 30 days. Expired certificates can break applications and reduce customer trust. Furthermore, manually accepting expired certificates as valid can mask other security risks which can lead to phishing, Man In The Middle attack, and other identity spoofing attacks.",Yes ,,,Commodity Insights = 1,https://docs.securestate.vmware.com/rule-docs/iam-server-certificate-expiration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IAM,AWS,IAM groups should have one or more users defined,Not present in WIZ ,delete any empty IAM groups.,Yes ,,,"Commodity Insights = 2
DTS = 6
SPDJI = 3",https://docs.securestate.vmware.com/rule-docs/iam-unusediamgroup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IAM,AWS,"IAM policy should not have unlimited administrative privileges
",IAM policy should not have full administrative access,should limit IAM policies to the minimum necessary permissions,Yes ,,,SPDJI = 1,https://docs.securestate.vmware.com/rule-docs/iam-omnipotent-policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IAM,AWS,"IAM user credentials should be removed if inactive for 30 days of more
",1>   IAM User credentials unused for 45 days or more should be disabled                                                                    2>  Access keys unused for 30 days or more should be    disabled,"If one or more access key sets are older than 30 days, the keys are most likely associated with a compromised or abandoned IAM user account; therefore, it is recommended that these credentials are disabled or removed.",Yes ,,,SPDJI = 5,https://docs.securestate.vmware.com/rule-docs/iam-user-password-not-used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IAM,AWS,"IAM user, group, or role should generally not have access to update Lambda function versions
",Not present in WIZ ,"Update IAM policy statement attached to the IAM user, group, or role by removing permissions to update Lambda functions' code.",Yes ,,,"Commodity Insights = 100                   DTS = 53
Ratings = 21
SPDJI = 45
Sustainable1 = 24",https://docs.securestate.vmware.com/rule-docs/aws-iam-lambda-update,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IAM,AWS,"IAM user, group, or role should have MFA permissions restricted
",IAM assumed role cross account should have an external ID or MFA (IAM-057) and IAM User with console access should have MFA enabled (IAM-005),"There is a user, group, or role with permissions to deactivate and reset multi-factor authentication (MFA) for other IAM user, groups, or role. While MFA is a strong security control for protecting privileged IAM permissions in AWS, it can be compromised if left unrestricted. A malicious individual could deactivate and reset a user’s MFA device and remove the protection built around sensitive and privileged IAM permissions.",Yes ,,,"Commodity Insights = 36
DTS = 114
GRA = 4
Market Intelligence = 50
Panjiva = 1
RateWatch = 1
Ratings = 27
SPDJI = 35
Sustainable1 = 32",https://docs.securestate.vmware.com/rule-docs/iam-principal-unrestricted-mfa-permissions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IAM,AWS,"IAM user, group, or role should not have access to add users to groups
",Not present in WIZ ,"Update IAM policy statement attached to the IAM user, group, or role by removing permissions to add users to groups.",Yes ,,,"Commodity Insights = 14
DTS = 15
SPDJI = 5
Sustainable1 = 8                                   Ratings = 6",https://docs.securestate.vmware.com/rule-docs/aws-iam-add-user-to-group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IAM,AWS,"IAM user, group, or role should not have access to both edit assume role policies and assume IAM roles
",IAM policy should not allow assume role permission across all services,"Update IAM policy statement attached to the IAM user, group, or role by removing either the permissions to modify the assume policy of IAM roles, or the permissions to assume IAM roles.",Yes ,,,"Commodity Insights = 5
DTS = 15
SPDJI = 5
Sustainable1 = 8                                   Ratings = 6",https://docs.securestate.vmware.com/rule-docs/aws-iam-update-assume-role-policy-assume-role,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IAM,AWS,"IAM user, group, or role should not have access to create an EC2 instance and pass any IAM role
",IAM Role policy should not allow PassRole permission across all resources,It is important to make sure that no IAM user (or subject in general) can pass a role with higher privileges than they already have,Yes ,,,"Commodity Insights = 210
DTS = 158
SPDJI = 76
Sustainable1 = 62                                   Ratings = 121",https://docs.securestate.vmware.com/rule-docs/aws-iam-ec2-create-instance-pass-role,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IAM,AWS,"IAM user, group, or role should not have access to create and configure Lambda functions with IAM roles for cross-account access
",Lambda policy should not allow access to all principals,"Update IAM policy statement attached to the IAM user, group, or role by removing on or more of the permissions to create Lambda functions, pass roles, or add permissions to a Lambda function",Yes ,,,"DTS = 10
",https://docs.securestate.vmware.com/rule-docs/aws-iam-cross-account-lambda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IAM,AWS,"IAM user, group, or role should not have access to create, and invoke Lambda functions and pass any IAM role
",1> Lambda policy should not allow access to all principals  2> IAM Role policy should not allow PassRole permission across all resources,It is important to make sure that no IAM user (or subject in general) can pass a role with higher privileges than they already have.,Yes ,,,"Commodity Insights = 54
DTS = 56
SPDJI = 46
Sustainable1 = 33                                   Ratings = 41",https://docs.securestate.vmware.com/rule-docs/aws-iam-lambda-create-invoke-pass-role,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IAM,AWS,"IAM user, group, or role should not have access to set default policy versions
",Not present in WIZ ,"Update IAM policy statement attached to the IAM user, group, or role by removing permissions to set default IAM policy versions.",Yes ,,,"Commodity Insights = 2
Ratings = 11",https://docs.securestate.vmware.com/rule-docs/aws-iam-policy-set-default-version-permission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IAM,AWS,"IAM user, group, or role should require SSL/TLS when managing or viewing IAM access keys
",IAM policy should not allow all KMS actions,This is a less secure practice and should be corrected immediately by enabling AWS Secure Transport on any user who has access to manage or view IAM access keys.,Yes ,,,"Commodity Insights = 21
DTS = 72
GRA = 4
Market Intelligence = 30
Panjiva = 1
RateWatch = 1
SPDJI = 13
Sustainable1 = 22",https://docs.securestate.vmware.com/rule-docs/iam-access-keys-no-tls-required-in-transit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IAM,AWS,"IAM users should not have policies attached
",IAM User should not have any policies attached,remove any IAM policies attached to user accounts and instead attach them to groups or roles,Yes ,,,"Sustainable1 = 1
",https://docs.securestate.vmware.com/rule-docs/iam-user-attached-policies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
